timestamp,model,model_key,embedding,variant,rule,seed,id_acc,ood_acc,gqr_score,id_val_acc,aux_val_reject,tau,avg_latency_s,train_time_s,n_train,dataset_acc,hyperparameters
20260819_112905,XGBoost,xgb,tf_idf,ctrl3,argmax,22,0.8867,0.0,0.0,0.9067,,,0.000322,0.3,300,"{""hate_xplain"": 0.0, ""jigsaw"": 0.0, ""web_questions"": 0.0, ""olid"": 0.0, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112905,XGBoost,xgb,tf_idf,ctrl3,msp,22,0.8833,0.0136,0.0268,0.9067,,0.54907,0.000322,0.3,300,"{""hate_xplain"": 0.0567, ""jigsaw"": 0.0385, ""web_questions"": 0.0, ""olid"": 0.0, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112924,SVM,svm,baai,oe4,argmax,22,0.99,0.9737,0.9818,1.0,0.875,,9.9e-05,0.1,400,"{""hate_xplain"": 0.9716, ""jigsaw"": 0.8718, ""web_questions"": 0.9722, ""olid"": 1.0, ""dkhate"": 1.0, ""hate_speech_slovak"": 1.0, ""ml_questions"": 1.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112924,SVM,svm,baai,oe4,tau,22,0.98,0.9794,0.9797,1.0,0.95,0.24917,9.9e-05,0.1,400,"{""hate_xplain"": 0.9858, ""jigsaw"": 0.8974, ""web_questions"": 0.9722, ""olid"": 1.0, ""dkhate"": 1.0, ""hate_speech_slovak"": 1.0, ""ml_questions"": 1.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112924,SVM,svm,mini,oe4,argmax,22,0.9733,0.9631,0.9682,0.9833,0.825,,0.000105,0.1,400,"{""hate_xplain"": 0.922, ""jigsaw"": 0.8974, ""web_questions"": 0.9722, ""olid"": 0.95, ""dkhate"": 1.0, ""hate_speech_slovak"": 1.0, ""ml_questions"": 1.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112924,SVM,svm,mini,oe4,tau,22,0.97,0.9731,0.9715,0.9833,0.875,0.3721,0.000105,0.1,400,"{""hate_xplain"": 0.9291, ""jigsaw"": 0.9103, ""web_questions"": 0.9722, ""olid"": 1.0, ""dkhate"": 1.0, ""hate_speech_slovak"": 1.0, ""ml_questions"": 1.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112924,SVM,svm,tf_idf,oe4,argmax,22,0.93,0.5194,0.6666,0.9767,0.65,,0.000201,0.2,400,"{""hate_xplain"": 0.4043, ""jigsaw"": 0.5769, ""web_questions"": 0.8333, ""olid"": 0.45, ""dkhate"": 0.3, ""hate_speech_slovak"": 0.0714, ""ml_questions"": 1.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112924,SVM,svm,tf_idf,oe4,tau,22,0.9533,0.3617,0.5245,0.9767,0.6,0.68026,0.000201,0.2,400,"{""hate_xplain"": 0.1702, ""jigsaw"": 0.3462, ""web_questions"": 0.6944, ""olid"": 0.25, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.0714, ""ml_questions"": 1.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112924,SVM,svm,baai,ctrl3,argmax,22,0.9967,0.0,0.0,1.0,,,8.5e-05,0.0,300,"{""hate_xplain"": 0.0, ""jigsaw"": 0.0, ""web_questions"": 0.0, ""olid"": 0.0, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112924,SVM,svm,baai,ctrl3,msp,22,0.98,0.6522,0.7832,1.0,,0.74751,8.5e-05,0.0,300,"{""hate_xplain"": 0.8298, ""jigsaw"": 0.6282, ""web_questions"": 0.75, ""olid"": 0.7, ""dkhate"": 0.8, ""hate_speech_slovak"": 0.8571, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112924,SVM,svm,mini,ctrl3,argmax,22,0.9733,0.0,0.0,0.9833,,,9.2e-05,0.0,300,"{""hate_xplain"": 0.0, ""jigsaw"": 0.0, ""web_questions"": 0.0, ""olid"": 0.0, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112924,SVM,svm,mini,ctrl3,msp,22,0.96,0.6995,0.8093,0.9833,,0.67021,9.2e-05,0.0,300,"{""hate_xplain"": 0.4894, ""jigsaw"": 0.5513, ""web_questions"": 0.5556, ""olid"": 0.5, ""dkhate"": 0.8, ""hate_speech_slovak"": 1.0, ""ml_questions"": 1.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112925,SVM,svm,tf_idf,ctrl3,argmax,22,0.9567,0.0,0.0,0.97,,,0.000178,0.1,300,"{""hate_xplain"": 0.0, ""jigsaw"": 0.0, ""web_questions"": 0.0, ""olid"": 0.0, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112925,SVM,svm,tf_idf,ctrl3,msp,22,0.9533,0.0771,0.1427,0.97,,0.54431,0.000178,0.1,300,"{""hate_xplain"": 0.1489, ""jigsaw"": 0.1923, ""web_questions"": 0.0556, ""olid"": 0.0, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.1429, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112943,fastText,fasttext,own,oe4,argmax,22,0.5433,0.0,0.0,0.6233,0.0,,8e-06,0.1,400,"{""hate_xplain"": 0.0, ""jigsaw"": 0.0, ""web_questions"": 0.0, ""olid"": 0.0, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112943,fastText,fasttext,own,oe4,tau,22,0.5233,0.4252,0.4692,0.6233,0.15,0.25012,8e-06,0.1,400,"{""hate_xplain"": 0.0213, ""jigsaw"": 0.0385, ""web_questions"": 0.6667, ""olid"": 0.15, ""dkhate"": 0.6, ""hate_speech_slovak"": 0.5, ""ml_questions"": 1.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112943,fastText,fasttext,own,ctrl3,argmax,22,0.58,0.0,0.0,0.6533,,,8e-06,0.1,300,"{""hate_xplain"": 0.0, ""jigsaw"": 0.0, ""web_questions"": 0.0, ""olid"": 0.0, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112943,fastText,fasttext,own,ctrl3,msp,22,0.5733,0.001,0.002,0.6533,,0.33336,8e-06,0.1,300,"{""hate_xplain"": 0.0071, ""jigsaw"": 0.0, ""web_questions"": 0.0, ""olid"": 0.0, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_113004,WideMLP,widemlp,own,oe4,argmax,22,0.3967,0.0047,0.0092,0.4367,0.0,,0.000696,2.9,400,"{""hate_xplain"": 0.0071, ""jigsaw"": 0.0256, ""web_questions"": 0.0, ""olid"": 0.0, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_113004,WideMLP,widemlp,own,oe4,tau,22,0.3867,0.0141,0.0273,0.4367,0.025,0.25183,0.000696,2.9,400,"{""hate_xplain"": 0.0071, ""jigsaw"": 0.0641, ""web_questions"": 0.0278, ""olid"": 0.0, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_113006,WideMLP,widemlp,own,ctrl3,argmax,22,0.4267,0.0,0.0,0.38,,,0.000682,1.7,300,"{""hate_xplain"": 0.0, ""jigsaw"": 0.0, ""web_questions"": 0.0, ""olid"": 0.0, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_113006,WideMLP,widemlp,own,ctrl3,msp,22,0.4267,0.0341,0.0631,0.38,,0.33661,0.000682,1.7,300,"{""hate_xplain"": 0.0638, ""jigsaw"": 0.0256, ""web_questions"": 0.0278, ""olid"": 0.05, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.0714, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_113131,BERT-multilingual,bert,own,oe4,argmax,22,0.9567,0.0,0.0,0.98,0.0,,0.014237,54.8,400,"{""hate_xplain"": 0.0, ""jigsaw"": 0.0, ""web_questions"": 0.0, ""olid"": 0.0, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_113132,BERT-multilingual,bert,own,oe4,tau,22,0.9433,0.0604,0.1136,0.98,0.65,0.22647,0.014237,54.8,400,"{""hate_xplain"": 0.0071, ""jigsaw"": 0.0769, ""web_questions"": 0.1389, ""olid"": 0.0, ""dkhate"": 0.2, ""hate_speech_slovak"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_113201,BERT-multilingual,bert,own,ctrl3,argmax,22,0.9633,0.0,0.0,0.9667,,,0.008693,19.1,300,"{""hate_xplain"": 0.0, ""jigsaw"": 0.0, ""web_questions"": 0.0, ""olid"": 0.0, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_113201,BERT-multilingual,bert,own,ctrl3,msp,22,0.9567,0.18,0.303,0.9667,,0.4001,0.008693,19.1,300,"{""hate_xplain"": 0.156, ""jigsaw"": 0.1538, ""web_questions"": 0.0, ""olid"": 0.05, ""dkhate"": 0.4, ""hate_speech_slovak"": 0.5, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_113415,ModernBERT,modernbert,own,oe4,argmax,22,0.9233,0.5636,0.7,0.9867,0.75,,0.015807,40.0,400,"{""hate_xplain"": 0.2624, ""jigsaw"": 0.5385, ""web_questions"": 0.6944, ""olid"": 0.25, ""dkhate"": 0.7, ""hate_speech_slovak"": 0.5, ""ml_questions"": 1.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_113415,ModernBERT,modernbert,own,oe4,tau,22,0.93,0.3773,0.5368,0.9867,0.65,0.45293,0.015807,40.0,400,"{""hate_xplain"": 0.1348, ""jigsaw"": 0.3462, ""web_questions"": 0.6389, ""olid"": 0.25, ""dkhate"": 0.2, ""hate_speech_slovak"": 0.0714, ""ml_questions"": 1.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_113457,ModernBERT,modernbert,own,ctrl3,argmax,22,0.9733,0.0,0.0,0.9833,,,0.011486,24.9,300,"{""hate_xplain"": 0.0, ""jigsaw"": 0.0, ""web_questions"": 0.0, ""olid"": 0.0, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_113457,ModernBERT,modernbert,own,ctrl3,msp,22,0.9467,0.3683,0.5303,0.9833,,0.75613,0.011486,24.9,300,"{""hate_xplain"": 0.4113, ""jigsaw"": 0.6282, ""web_questions"": 0.1389, ""olid"": 0.4, ""dkhate"": 0.5, ""hate_speech_slovak"": 0.5, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
