timestamp,model,model_key,embedding,variant,rule,seed,id_acc,ood_acc,gqr_score,id_val_acc,aux_val_reject,tau,avg_latency_s,train_time_s,n_train,dataset_acc,hyperparameters,bg
20260819_120112,SVM,svm,tf_idf,ctrl3,argmax,22,0.9917,0.0,0.0,0.9936,,,0.001606,248.9,28800,"{""jigsaw"": 0.0, ""olid"": 0.0, ""hate_xplain"": 0.0, ""hate_speech_slovak"": 0.0, ""dkhate"": 0.0, ""web_questions"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_120112,SVM,svm,tf_idf,ctrl3,msp,22,0.9747,0.3269,0.4896,0.9936,,0.90559,0.001606,248.9,28800,"{""jigsaw"": 0.5986, ""olid"": 0.2488, ""hate_xplain"": 0.6561, ""hate_speech_slovak"": 0.0605, ""dkhate"": 0.2796, ""web_questions"": 0.2963, ""ml_questions"": 0.1484}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_120643,fastText,fasttext,own,oe4,argmax,22,0.9917,0.7032,0.8229,0.9958,0.9641,,2.2e-05,312.0,36480,"{""jigsaw"": 0.4228, ""olid"": 0.6814, ""hate_xplain"": 0.5152, ""hate_speech_slovak"": 0.7914, ""dkhate"": 0.766, ""web_questions"": 0.9488, ""ml_questions"": 0.7969}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_120643,fastText,fasttext,own,oe4,tau,22,0.9801,0.8806,0.9277,0.9958,0.9844,0.01213,2.2e-05,312.0,36480,"{""jigsaw"": 0.6665, ""olid"": 0.9116, ""hate_xplain"": 0.7848, ""hate_speech_slovak"": 0.9572, ""dkhate"": 0.9635, ""web_questions"": 0.9739, ""ml_questions"": 0.9062}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_121215,fastText,fasttext,own,ctrl3,argmax,22,0.995,0.0,0.0,0.9961,,,2.4e-05,330.8,28800,"{""jigsaw"": 0.0, ""olid"": 0.0, ""hate_xplain"": 0.0, ""hate_speech_slovak"": 0.0, ""dkhate"": 0.0, ""web_questions"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_121215,fastText,fasttext,own,ctrl3,msp,22,0.9761,0.4085,0.576,0.9961,,0.99034,2.4e-05,330.8,28800,"{""jigsaw"": 0.5168, ""olid"": 0.6221, ""hate_xplain"": 0.573, ""hate_speech_slovak"": 0.4557, ""dkhate"": 0.4225, ""web_questions"": 0.0664, ""ml_questions"": 0.2031}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_122150,WideMLP,widemlp,own,oe4,argmax,22,0.9918,0.7448,0.8507,0.9974,0.9698,,0.001031,546.6,36480,"{""jigsaw"": 0.3326, ""olid"": 0.8012, ""hate_xplain"": 0.6403, ""hate_speech_slovak"": 0.9145, ""dkhate"": 0.7599, ""web_questions"": 0.9606, ""ml_questions"": 0.8047}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_122150,WideMLP,widemlp,own,oe4,tau,22,0.9816,0.8931,0.9353,0.9974,0.9865,0.18217,0.001031,546.6,36480,"{""jigsaw"": 0.5535, ""olid"": 0.9663, ""hate_xplain"": 0.8671, ""hate_speech_slovak"": 0.9958, ""dkhate"": 0.9605, ""web_questions"": 0.9946, ""ml_questions"": 0.9141}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_123148,WideMLP,widemlp,own,ctrl3,argmax,22,0.9963,0.0,0.0,0.9972,,,0.00098,593.8,28800,"{""jigsaw"": 0.0, ""olid"": 0.0, ""hate_xplain"": 0.0, ""hate_speech_slovak"": 0.0, ""dkhate"": 0.0, ""web_questions"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_123148,WideMLP,widemlp,own,ctrl3,msp,22,0.9794,0.7744,0.8649,0.9972,,0.90827,0.00098,593.8,28800,"{""jigsaw"": 0.7614, ""olid"": 0.9488, ""hate_xplain"": 0.9307, ""hate_speech_slovak"": 0.9166, ""dkhate"": 0.9027, ""web_questions"": 0.8356, ""ml_questions"": 0.125}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_133739,BERT-multilingual,bert,own,oe4,argmax,22,0.9964,0.5457,0.7052,0.9986,0.9766,,0.010651,599.0,36480,"{""jigsaw"": 0.5302, ""olid"": 0.2709, ""hate_xplain"": 0.4792, ""hate_speech_slovak"": 0.2503, ""dkhate"": 0.6626, ""web_questions"": 0.9547, ""ml_questions"": 0.6719}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_133739,BERT-multilingual,bert,own,oe4,tau,22,0.9783,0.8424,0.9053,0.9986,0.9927,0.00769,0.010651,599.0,36480,"{""jigsaw"": 0.7352, ""olid"": 0.7826, ""hate_xplain"": 0.7385, ""hate_speech_slovak"": 0.8196, ""dkhate"": 0.9422, ""web_questions"": 0.9961, ""ml_questions"": 0.8828}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_134613,BERT-multilingual,bert,own,ctrl3,argmax,22,0.9991,0.0,0.0,0.9994,,,0.008889,469.1,28800,"{""jigsaw"": 0.0, ""olid"": 0.0, ""hate_xplain"": 0.0, ""hate_speech_slovak"": 0.0, ""dkhate"": 0.0, ""web_questions"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_134613,BERT-multilingual,bert,own,ctrl3,msp,22,0.9812,0.6968,0.8149,0.9994,,0.99947,0.008889,469.1,28800,"{""jigsaw"": 0.8267, ""olid"": 0.8581, ""hate_xplain"": 0.8153, ""hate_speech_slovak"": 0.8801, ""dkhate"": 0.9422, ""web_questions"": 0.5236, ""ml_questions"": 0.0312}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_140646,ModernBERT,modernbert,own,oe4,argmax,22,0.9974,0.4285,0.5995,0.9997,0.9797,,0.014132,1012.3,36480,"{""jigsaw"": 0.3475, ""olid"": 0.1047, ""hate_xplain"": 0.2227, ""hate_speech_slovak"": 0.2711, ""dkhate"": 0.4438, ""web_questions"": 0.969, ""ml_questions"": 0.6406}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_140646,ModernBERT,modernbert,own,oe4,tau,22,0.9806,0.7156,0.8274,0.9997,0.9943,0.01067,0.014132,1012.3,36480,"{""jigsaw"": 0.6864, ""olid"": 0.3651, ""hate_xplain"": 0.5053, ""hate_speech_slovak"": 0.7456, ""dkhate"": 0.8298, ""web_questions"": 0.9941, ""ml_questions"": 0.8828}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_142300,ModernBERT,modernbert,own,ctrl3,argmax,22,0.9998,0.0,0.0,0.9997,,,0.013102,788.7,28800,"{""jigsaw"": 0.0, ""olid"": 0.0, ""hate_xplain"": 0.0, ""hate_speech_slovak"": 0.0, ""dkhate"": 0.0, ""web_questions"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_142300,ModernBERT,modernbert,own,ctrl3,msp,22,0.9822,0.7028,0.8194,0.9997,,0.99997,0.013102,788.7,28800,"{""jigsaw"": 0.7946, ""olid"": 0.6616, ""hate_xplain"": 0.7714, ""hate_speech_slovak"": 0.6726, ""dkhate"": 0.7568, ""web_questions"": 0.872, ""ml_questions"": 0.3906}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_142333,XGBoost,xgb,baai,oe4,argmax,22,0.9933,0.863,0.9236,0.9968,0.9568,,0.008842,4.0,36480,"{""jigsaw"": 0.6409, ""olid"": 0.9372, ""hate_xplain"": 0.9309, ""hate_speech_slovak"": 0.9552, ""dkhate"": 0.9878, ""web_questions"": 0.9793, ""ml_questions"": 0.6094}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_142333,XGBoost,xgb,baai,oe4,tau,22,0.9776,0.9593,0.9683,0.9968,0.9875,0.03327,0.008842,4.0,36480,"{""jigsaw"": 0.8671, ""olid"": 0.9849, ""hate_xplain"": 0.9887, ""hate_speech_slovak"": 0.9958, ""dkhate"": 0.9939, ""web_questions"": 0.9941, ""ml_questions"": 0.8906}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_142343,XGBoost,xgb,mini,oe4,argmax,22,0.99,0.9042,0.9452,0.9975,0.9479,,0.003885,4.2,36480,"{""jigsaw"": 0.8373, ""olid"": 0.8942, ""hate_xplain"": 0.9139, ""hate_speech_slovak"": 0.9364, ""dkhate"": 0.9757, ""web_questions"": 0.9754, ""ml_questions"": 0.7969}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_142343,XGBoost,xgb,mini,oe4,tau,22,0.9792,0.9594,0.9692,0.9975,0.9714,0.10949,0.003885,4.2,36480,"{""jigsaw"": 0.9284, ""olid"": 0.9581, ""hate_xplain"": 0.9678, ""hate_speech_slovak"": 0.9875, ""dkhate"": 0.9939, ""web_questions"": 0.9897, ""ml_questions"": 0.8906}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_142401,XGBoost,xgb,tf_idf,oe4,argmax,22,0.9732,0.7499,0.8471,0.9878,0.9031,,0.000332,17.5,36480,"{""jigsaw"": 0.5641, ""olid"": 0.8093, ""hate_xplain"": 0.6497, ""hate_speech_slovak"": 0.781, ""dkhate"": 0.9271, ""web_questions"": 0.9321, ""ml_questions"": 0.5859}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_142401,XGBoost,xgb,tf_idf,oe4,tau,22,0.9702,0.7628,0.8541,0.9878,0.9141,0.45285,0.000332,17.5,36480,"{""jigsaw"": 0.5691, ""olid"": 0.8372, ""hate_xplain"": 0.6586, ""hate_speech_slovak"": 0.7758, ""dkhate"": 0.9544, ""web_questions"": 0.9508, ""ml_questions"": 0.5938}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_142405,XGBoost,xgb,baai,ctrl3,argmax,22,0.9974,0.0,0.0,0.9972,,,0.006578,2.3,28800,"{""jigsaw"": 0.0, ""olid"": 0.0, ""hate_xplain"": 0.0, ""hate_speech_slovak"": 0.0, ""dkhate"": 0.0, ""web_questions"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_142405,XGBoost,xgb,baai,ctrl3,msp,22,0.9768,0.6638,0.7905,0.9972,,0.98674,0.006578,2.3,28800,"{""jigsaw"": 0.6232, ""olid"": 0.7442, ""hate_xplain"": 0.7579, ""hate_speech_slovak"": 0.7977, ""dkhate"": 0.8784, ""web_questions"": 0.7672, ""ml_questions"": 0.0781}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_142408,XGBoost,xgb,mini,ctrl3,argmax,22,0.996,0.0,0.0,0.9956,,,0.003724,2.2,28800,"{""jigsaw"": 0.0, ""olid"": 0.0, ""hate_xplain"": 0.0, ""hate_speech_slovak"": 0.0, ""dkhate"": 0.0, ""web_questions"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_142408,XGBoost,xgb,mini,ctrl3,msp,22,0.9801,0.5958,0.7411,0.9956,,0.98711,0.003724,2.2,28800,"{""jigsaw"": 0.6472, ""olid"": 0.7058, ""hate_xplain"": 0.6441, ""hate_speech_slovak"": 0.8655, ""dkhate"": 0.8693, ""web_questions"": 0.3056, ""ml_questions"": 0.1328}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_142419,XGBoost,xgb,tf_idf,ctrl3,argmax,22,0.9908,0.0,0.0,0.9888,,,0.000333,9.4,28800,"{""jigsaw"": 0.0, ""olid"": 0.0, ""hate_xplain"": 0.0, ""hate_speech_slovak"": 0.0, ""dkhate"": 0.0, ""web_questions"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_142419,XGBoost,xgb,tf_idf,ctrl3,msp,22,0.9787,0.1199,0.2136,0.9888,,0.80359,0.000333,9.4,28800,"{""jigsaw"": 0.3065, ""olid"": 0.0547, ""hate_xplain"": 0.3372, ""hate_speech_slovak"": 0.0302, ""dkhate"": 0.0699, ""web_questions"": 0.0172, ""ml_questions"": 0.0234}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 1, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 128, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260820_125350,bge-small-ft(DP-oe),bge,own,oe4,argmax,22,0.9982,0.6944,0.819,0.9994,0.9771,,0.008511,1345.5,36480,"{""jigsaw"": 0.7234, ""olid"": 0.6674, ""hate_xplain"": 0.7793, ""hate_speech_slovak"": 0.3149, ""dkhate"": 0.6535, ""web_questions"": 0.9798, ""ml_questions"": 0.7422}","{""seed"": 22, ""bg"": ""v1"", ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260820_125350,bge-small-ft(DP-oe),bge,own,oe4,tau,22,0.9822,0.8897,0.9337,0.9994,0.9953,0.00342,0.008511,1345.5,36480,"{""jigsaw"": 0.9098, ""olid"": 0.8884, ""hate_xplain"": 0.9463, ""hate_speech_slovak"": 0.6048, ""dkhate"": 0.9422, ""web_questions"": 0.999, ""ml_questions"": 0.9375}","{""seed"": 22, ""bg"": ""v1"", ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 32, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
